"Gender","Customer Type","Age","Type of Travel","Class","Flight Distance","Inflight wifi service","Departure/Arrival time convenient","Ease of Online booking","Gate location","Food and drink","Online boarding","Seat comfort","Inflight entertainment","On-board service","Leg room service","Baggage handling","Checkin service","Inflight service","Cleanliness","Departure Delay in Minutes","Arrival Delay in Minutes","satisfaction"
"Male","Loyal Customer",19,"Personal Travel","Eco",1464,"2","1","2","1","4","2","4","4","1","4","1","3","1","4",8,8,"neutral or dissatisfied"
"Male","Loyal Customer",63,"Personal Travel","Eco Plus",328,"3","1","3","4","1","3","1","1","3","1","4","3","3","1",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",42,"Business travel","Business",1780,"1","1","1","1","4","4","3","5","5","5","5","1","5","2",0,7,"satisfied"
"Female","disloyal Customer",50,"Business travel","Eco",993,"4","4","4","4","4","4","4","4","3","4","3","2","3","4",0,21,"neutral or dissatisfied"
"Female","Loyal Customer",13,"Business travel","Business",2018,"5","5","5","5","3","3","3","3","1","1","5","2","2","3",0,5,"satisfied"
"Male","Loyal Customer",60,"Business travel","Eco",715,"1","4","4","4","1","1","1","1","2","3","3","2","4","1",13,6,"neutral or dissatisfied"
"Female","Loyal Customer",20,"Personal Travel","Eco",1195,"2","4","2","3","3","2","3","3","4","5","5","4","5","3",0,0,"neutral or dissatisfied"
"Female","disloyal Customer",20,"Business travel","Eco",569,"3","4","3","4","5","3","5","5","5","5","4","3","5","5",31,30,"neutral or dissatisfied"
"Female","Loyal Customer",36,"Business travel","Business",1009,"3","4","3","3","2","4","4","3","3","2","3","4","3","3",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",37,"Personal Travel","Eco Plus",2422,"3","5","3","3","3","3","3","3","3","2","4","3","4","3",0,17,"neutral or dissatisfied"
"Male","Loyal Customer",43,"Business travel","Business",2334,"4","4","4","4","3","5","4","4","4","4","4","3","4","3",0,0,"satisfied"
"Female","Loyal Customer",56,"Business travel","Business",2865,"5","5","5","5","2","3","1","4","4","4","4","5","4","3",0,0,"satisfied"
"Female","Loyal Customer",57,"Business travel","Business",3621,"5","5","5","5","4","5","5","4","4","5","4","4","4","3",0,0,"satisfied"
"Female","Loyal Customer",35,"Personal Travel","Eco",909,"1","4","1","5","3","1","3","3","3","3","3","3","1","3",70,NA,"neutral or dissatisfied"
"Female","Loyal Customer",52,"Business travel","Business",304,"2","2","3","2","1","3","4","2","2","2","2","2","2","1",2,0,"neutral or dissatisfied"
"Female","Loyal Customer",48,"Business travel","Business",431,"1","1","1","1","2","5","5","3","3","3","3","3","3","4",0,0,"satisfied"
"Male","disloyal Customer",34,"Business travel","Eco",1302,"3","3","3","3","4","3","3","4","4","1","4","3","4","4",110,100,"neutral or dissatisfied"
"Male","disloyal Customer",24,"Business travel","Eco",650,"2","5","2","2","3","2","2","3","5","2","5","5","5","3",0,0,"neutral or dissatisfied"
